point_id,01_front_clean.jpg,02_front_wide.jpg,03_front_postcard.jpg,04_front_elevated.jpg,05_front_center.jpg,06_front_flags.jpg,07_diagonal_left.jpg,08_diagonal_right_soft.jpg,09_diagonal_left_bw.jpg,10_diagonal_left.jpg,11_side_right.jpg,12_front_trees.jpg,13_front_heavy_trees.jpg,14_front_pikiwiki.png
P0,"293,235","173,69","756,516","256,125","187,161","231,117","300,232","91,56","294,172","595,197",,"135,107","39,47","177,112"
P1,"398,96","206,22","1071,99","303,67","249,81",,"375,158","97,24","318,73","732,70","56,32","200,24",,"234,34"
P2,"462,97","228,23","1262,98","329,67","286,80",,"393,170","109,23","346,62","782,75","64,31",,,"269,33"
P3,"618,92","277,21","1733,98","395,68","379,77",,"433,197","135,17","428,28","896,93","85,18","335,19",,"357,30"
P4,"683,91","300,22","1921,99","424,69","417,76",,"447,207","148,15","467,15","936,102","97,13","375,18",,"393,30"
P5,"641,93",,,"467,130","483,154",,,"182,45","580,99",,"133,48","450,102","243,50","451,107"
P6,,,,"31,133",,,,"44,65","159,227",,"28,104",,,
P7,,"57,78",,"105,135",,,,"60,63","206,216","95,176","43,101",,,
P8,,"450,79",,"624,150",,,"460,340",,,"1123,264",,,,
P9,,,,"705,151",,,"492,352",,,,,,,
P10,"343,374","188,115","909,948","273,184","217,245","278,248","319,349",,,"639,357",,"162,195","59,106","207,191"
P11,"368,374","197,115","986,948","285,185","232,245","303,249","329,351",,,"657,357",,,,"220,191"
P12,"485,333","234,103","1330,832","335,169","301,223","409,213","401,340","113,76","352,224","799,327",,,,"284,169"
P13,"510,333","243,102","1407,833","346,170","317,222","435,212","408,343","116,76","366,222","813,327",,,,"299,169"
P14,"528,334","248,103","1457,831","354,170","326,222","449,213","413,344","119,76","374,221","832,330","73,101",,"138,89","308,169"
P15,"553,333","256,102","1534,832","365,170","342,221","475,213","418,346","124,76","389,219",,,"293,168","149,89","323,169"
P16,"570,333","262,102","1584,834","372,170","351,221","489,213","423,347","126,76","401,216",,"79,100","304,168","156,89","332,169"
P17,"597,334","270,102","1661,836","383,170","367,221","516,211","428,350","132,76","414,214","875,330",,,"167,89","347,169"
P18,"717,372","309,114","2014,954","433,189",,"632,246",,"164,82","528,231",,"119,104","403,193",,"413,188"
P19,"742,372","318,114","2089,955","447,189",,"658,245",,"170,82",,,"123,104","421,193",,"427,188"
P20,"525,431","247,134","1443,1125","351,212","324,278","447,303","408,408",,"374,294",,,"276,232","136,129","306,223"
P21,"559,431","258,134","1550,1124","366,212","346,278","482,302","416,409",,"393,293","844,424",,"297,232","152,129","326,223"
P22,,,,,,,"217,245",,,"523,213",,,,
P23,,,,,,,"250,348",,,"553,357",,,,
P24,,,,,,,"269,348",,,"564,357",,,,
P25,,,,,,,,"158,19","503,33",,"116,18",,,
P26,,,,,,,,,"630,122",,,,,
P27,,,,,,,,,"613,175",,"153,78",,,
P28,"13,398","80,120",,"132,188",,,"48,311","67,83","227,283","184,354",,,,"22,202"
P29,"107,397","112,120","192,994","173,189","70,255","54,269","113,325",,"261,280","300,355",,,,"75,201"
P30,"203,396","143,121",,"215,191",,"148,268","169,338",,,"409,358",,,,"129,201"
P31,"847,391","349,121",,"487,199","521,249","768,260",,,"700,233",,"186,102",,"263,116","484,200"
P32,"889,391","362,121",,"506,200","546,248","808,259",,"223,83",,,"199,98",,,"506,199"
P33,"949,390","382,121",,"530,200",,"866,258",,"243,83",,,,,,"540,200"
